 j EnclosedM[g] Rad[cm] Vel[cm/s] Den[g/cc] X_H X_He
160 8.24e+33 2.435e+14 6.578e+05 1.594e-13 0.5933 0.3866
161 8.24e+33 2.446e+14 6.764e+05 1.585e-13 0.5933 0.3866
162 8.24e+33 2.457e+14 6.951e+05 1.576e-13 0.5933 0.3866
163 8.24e+33 2.468e+14 7.139e+05 1.562e-13 0.5933 0.3866
164 8.241e+33 2.479e+14 7.329e+05 1.544e-13 0.5933 0.3866
165 8.241e+33 2.49e+14 7.518e+05 1.528e-13 0.5933 0.3866
166 8.241e+33 2.501e+14 7.705e+05 1.512e-13 0.5933 0.3866
167 8.241e+33 2.512e+14 7.893e+05 1.502e-13 0.5933 0.3866
168 8.241e+33 2.523e+14 8.084e+05 1.498e-13 0.5933 0.3866
169 8.241e+33 2.534e+14 8.28e+05 1.486e-13 0.5933 0.3866
170 8.241e+33 2.545e+14 8.482e+05 1.465e-13 0.5933 0.3866
171 8.242e+33 2.557e+14 8.678e+05 1.45e-13 0.5933 0.3866
172 8.242e+33 2.568e+14 8.868e+05 1.443e-13 0.5933 0.3866
173 8.242e+33 2.579e+14 9.059e+05 1.436e-13 0.5933 0.3866
174 8.242e+33 2.591e+14 9.252e+05 1.427e-13 0.5933 0.3866
175 8.242e+33 2.602e+14 9.451e+05 1.417e-13 0.5933 0.3866
176 8.242e+33 2.614e+14 9.654e+05 1.404e-13 0.5933 0.3866
177 8.242e+33 2.625e+14 9.857e+05 1.386e-13 0.5933 0.3866
178 8.242e+33 2.637e+14 1.006e+06 1.364e-13 0.5933 0.3866
179 8.243e+33 2.649e+14 1.026e+06 1.35e-13 0.5933 0.3866
180 8.243e+33 2.66e+14 1.046e+06 1.343e-13 0.5933 0.3866
181 8.243e+33 2.672e+14 1.065e+06 1.33e-13 0.5933 0.3866
182 8.243e+33 2.684e+14 1.083e+06 1.316e-13 0.5933 0.3866
183 8.243e+33 2.696e+14 1.104e+06 1.306e-13 0.5933 0.3866
184 8.243e+33 2.708e+14 1.124e+06 1.298e-13 0.5933 0.3866
185 8.243e+33 2.72e+14 1.144e+06 1.292e-13 0.5933 0.3866
186 8.244e+33 2.732e+14 1.163e+06 1.285e-13 0.5933 0.3866
187 8.244e+33 2.744e+14 1.184e+06 1.28e-13 0.5933 0.3866
188 8.244e+33 2.756e+14 1.204e+06 1.275e-13 0.5933 0.3866
189 8.244e+33 2.768e+14 1.218e+06 1.271e-13 0.5933 0.3866
190 8.244e+33 2.78e+14 1.236e+06 1.262e-13 0.5933 0.3866
191 8.244e+33 2.793e+14 1.257e+06 1.249e-13 0.5933 0.3866
192 8.244e+33 2.805e+14 1.281e+06 1.241e-13 0.5933 0.3866
193 8.245e+33 2.817e+14 1.305e+06 1.236e-13 0.5933 0.3866
194 8.245e+33 2.83e+14 1.326e+06 1.224e-13 0.5933 0.3866
195 8.245e+33 2.842e+14 1.346e+06 1.213e-13 0.5933 0.3866
196 8.245e+33 2.855e+14 1.365e+06 1.202e-13 0.5933 0.3866
197 8.245e+33 2.868e+14 1.385e+06 1.192e-13 0.5933 0.3866
198 8.245e+33 2.88e+14 1.406e+06 1.184e-13 0.5933 0.3866
199 8.246e+33 2.893e+14 1.426e+06 1.18e-13 0.5933 0.3866
200 8.246e+33 2.906e+14 1.446e+06 1.177e-13 0.5933 0.3866
201 8.246e+33 2.919e+14 1.467e+06 1.169e-13 0.5933 0.3866
202 8.246e+33 2.932e+14 1.488e+06 1.16e-13 0.5933 0.3866
203 8.246e+33 2.945e+14 1.508e+06 1.15e-13 0.5933 0.3866
204 8.246e+33 2.958e+14 1.529e+06 1.139e-13 0.5933 0.3866
205 8.247e+33 2.971e+14 1.55e+06 1.13e-13 0.5933 0.3866
206 8.247e+33 2.984e+14 1.57e+06 1.126e-13 0.5933 0.3866
207 8.247e+33 2.997e+14 1.591e+06 1.118e-13 0.5933 0.3866
208 8.247e+33 3.01e+14 1.613e+06 1.107e-13 0.5933 0.3866
209 8.247e+33 3.024e+14 1.633e+06 1.097e-13 0.5933 0.3866
210 8.247e+33 3.037e+14 1.653e+06 1.089e-13 0.5933 0.3866
211 8.248e+33 3.051e+14 1.675e+06 1.085e-13 0.5933 0.3866
212 8.248e+33 3.064e+14 1.695e+06 1.074e-13 0.5933 0.3866
213 8.248e+33 3.078e+14 1.716e+06 1.064e-13 0.5933 0.3866
214 8.248e+33 3.091e+14 1.738e+06 1.06e-13 0.5933 0.3866
215 8.248e+33 3.105e+14 1.759e+06 1.055e-13 0.5933 0.3866
216 8.248e+33 3.119e+14 1.78e+06 1.049e-13 0.5933 0.3866
217 8.249e+33 3.133e+14 1.801e+06 1.038e-13 0.5933 0.3866
218 8.249e+33 3.146e+14 1.823e+06 1.034e-13 0.5933 0.3866
219 8.249e+33 3.16e+14 1.844e+06 1.028e-13 0.5933 0.3866
220 8.249e+33 3.174e+14 1.866e+06 1.019e-13 0.5933 0.3866
221 8.249e+33 3.188e+14 1.887e+06 1.013e-13 0.5933 0.3866
222 8.249e+33 3.203e+14 1.909e+06 1.008e-13 0.5933 0.3866
223 8.25e+33 3.217e+14 1.931e+06 1.004e-13 0.5933 0.3866
224 8.25e+33 3.231e+14 1.953e+06 1e-13 0.5933 0.3866
225 8.25e+33 3.245e+14 1.975e+06 9.967e-14 0.5933 0.3866
226 8.25e+33 3.26e+14 1.995e+06 9.93e-14 0.5933 0.3866
227 8.25e+33 3.274e+14 2.01e+06 9.886e-14 0.5933 0.3866
228 8.251e+33 3.289e+14 2.031e+06 9.945e-14 0.5933 0.3866
229 8.251e+33 3.303e+14 2.05e+06 9.948e-14 0.5933 0.3866
230 8.251e+33 3.318e+14 2.069e+06 9.884e-14 0.5933 0.3866
231 8.251e+33 3.332e+14 2.098e+06 9.833e-14 0.5933 0.3866
232 8.251e+33 3.347e+14 2.126e+06 9.726e-14 0.5933 0.3866
233 8.252e+33 3.362e+14 2.151e+06 9.662e-14 0.5933 0.3866
234 8.252e+33 3.377e+14 2.173e+06 9.633e-14 0.5933 0.3866
235 8.252e+33 3.392e+14 2.194e+06 9.608e-14 0.5933 0.3866
236 8.252e+33 3.407e+14 2.216e+06 9.556e-14 0.5933 0.3866
237 8.252e+33 3.422e+14 2.238e+06 9.521e-14 0.5933 0.3866
238 8.253e+33 3.437e+14 2.259e+06 9.469e-14 0.5933 0.3866
239 8.253e+33 3.452e+14 2.281e+06 9.417e-14 0.5933 0.3866
240 8.253e+33 3.468e+14 2.302e+06 9.385e-14 0.5933 0.3866
241 8.253e+33 3.483e+14 2.324e+06 9.302e-14 0.5933 0.3866
242 8.254e+33 3.498e+14 2.346e+06 9.26e-14 0.5933 0.3866
243 8.254e+33 3.514e+14 2.369e+06 9.201e-14 0.5933 0.3866
244 8.254e+33 3.529e+14 2.391e+06 9.158e-14 0.5933 0.3866
245 8.254e+33 3.545e+14 2.413e+06 9.099e-14 0.5933 0.3866
246 8.254e+33 3.561e+14 2.436e+06 9.015e-14 0.5933 0.3866
247 8.255e+33 3.576e+14 2.459e+06 8.973e-14 0.5933 0.3866
248 8.255e+33 3.592e+14 2.482e+06 8.947e-14 0.5933 0.3866
249 8.255e+33 3.608e+14 2.504e+06 8.816e-14 0.5933 0.3866
250 8.255e+33 3.624e+14 2.525e+06 8.74e-14 0.5933 0.3866
251 8.256e+33 3.64e+14 2.548e+06 8.644e-14 0.5933 0.3866
252 8.256e+33 3.656e+14 2.571e+06 8.551e-14 0.5933 0.3866
253 8.256e+33 3.673e+14 2.594e+06 8.47e-14 0.5933 0.3866
254 8.256e+33 3.689e+14 2.617e+06 8.41e-14 0.5933 0.3866
255 8.256e+33 3.705e+14 2.64e+06 8.376e-14 0.5933 0.3866
256 8.257e+33 3.722e+14 2.663e+06 8.323e-14 0.5933 0.3866
257 8.257e+33 3.738e+14 2.686e+06 8.225e-14 0.5933 0.3866
258 8.257e+33 3.755e+14 2.709e+06 8.074e-14 0.5933 0.3866
259 8.257e+33 3.771e+14 2.731e+06 7.989e-14 0.5933 0.3866
260 8.258e+33 3.788e+14 2.756e+06 7.855e-14 0.5933 0.3866
261 8.258e+33 3.805e+14 2.774e+06 7.729e-14 0.5933 0.3866
262 8.258e+33 3.821e+14 2.798e+06 7.624e-14 0.5933 0.3866
263 8.258e+33 3.838e+14 2.822e+06 7.548e-14 0.5933 0.3866
264 8.259e+33 3.855e+14 2.85e+06 7.418e-14 0.5933 0.3866
265 8.259e+33 3.872e+14 2.871e+06 7.311e-14 0.5933 0.3866
266 8.259e+33 3.89e+14 2.892e+06 7.28e-14 0.5933 0.3866
267 8.259e+33 3.907e+14 2.921e+06 7.269e-14 0.5933 0.3866
268 8.26e+33 3.924e+14 2.937e+06 7.268e-14 0.5933 0.3866
269 8.26e+33 3.941e+14 2.964e+06 7.142e-14 0.5933 0.3866
270 8.26e+33 3.959e+14 2.985e+06 6.98e-14 0.5933 0.3866
271 8.26e+33 3.976e+14 3.01e+06 6.93e-14 0.5933 0.3866
272 8.26e+33 3.994e+14 3.04e+06 6.768e-14 0.5933 0.3866
273 8.261e+33 4.012e+14 3.054e+06 6.727e-14 0.5933 0.3866
274 8.261e+33 4.029e+14 3.079e+06 6.553e-14 0.5933 0.3866
275 8.261e+33 4.047e+14 3.114e+06 6.631e-14 0.5933 0.3866
276 8.261e+33 4.065e+14 3.13e+06 6.574e-14 0.5933 0.3866
277 8.262e+33 4.083e+14 3.162e+06 6.648e-14 0.5933 0.3866
278 8.262e+33 4.101e+14 3.182e+06 6.493e-14 0.5933 0.3866
279 8.262e+33 4.119e+14 3.208e+06 6.46e-14 0.5933 0.3866
280 8.262e+33 4.138e+14 3.227e+06 6.293e-14 0.5933 0.3866
281 8.263e+33 4.156e+14 3.259e+06 6.266e-14 0.5933 0.3866
282 8.263e+33 4.174e+14 3.281e+06 6.256e-14 0.5933 0.3866
283 8.263e+33 4.193e+14 3.306e+06 6.191e-14 0.5933 0.3866
284 8.263e+33 4.211e+14 3.327e+06 6.104e-14 0.5933 0.3866
285 8.264e+33 4.23e+14 3.355e+06 6.033e-14 0.5933 0.3866
286 8.264e+33 4.249e+14 3.389e+06 5.969e-14 0.5933 0.3866
287 8.264e+33 4.268e+14 3.405e+06 5.869e-14 0.5933 0.3866
288 8.264e+33 4.287e+14 3.43e+06 5.822e-14 0.5933 0.3866
289 8.265e+33 4.306e+14 3.453e+06 5.824e-14 0.5933 0.3866
290 8.265e+33 4.325e+14 3.481e+06 5.791e-14 0.5933 0.3866
291 8.265e+33 4.344e+14 3.51e+06 5.796e-14 0.5933 0.3866
292 8.265e+33 4.363e+14 3.536e+06 5.793e-14 0.5933 0.3866
293 8.266e+33 4.382e+14 3.569e+06 5.734e-14 0.5933 0.3866
294 8.266e+33 4.402e+14 3.576e+06 5.519e-14 0.5933 0.3866
295 8.266e+33 4.421e+14 3.611e+06 5.445e-14 0.5933 0.3866
296 8.267e+33 4.441e+14 3.647e+06 5.48e-14 0.5933 0.3866
297 8.267e+33 4.46e+14 3.653e+06 5.257e-14 0.5933 0.3866
298 8.267e+33 4.48e+14 3.692e+06 5.264e-14 0.5933 0.3866
299 8.267e+33 4.5e+14 3.711e+06 5.255e-14 0.5933 0.3866
300 8.268e+33 4.52e+14 3.746e+06 5.248e-14 0.5933 0.3866
301 8.268e+33 4.54e+14 3.761e+06 5.174e-14 0.5933 0.3866
302 8.268e+33 4.56e+14 3.793e+06 5.191e-14 0.5933 0.3866
303 8.268e+33 4.58e+14 3.819e+06 5.19e-14 0.5933 0.3866
304 8.269e+33 4.6e+14 3.844e+06 5.187e-14 0.5933 0.3866
305 8.269e+33 4.621e+14 3.869e+06 5.137e-14 0.5933 0.3866
306 8.269e+33 4.641e+14 3.894e+06 5.089e-14 0.5933 0.3866
307 8.27e+33 4.662e+14 3.921e+06 5.062e-14 0.5933 0.3866
308 8.27e+33 4.682e+14 3.948e+06 5.034e-14 0.5933 0.3866
309 8.27e+33 4.703e+14 3.974e+06 5.006e-14 0.5933 0.3866
310 8.27e+33 4.724e+14 4.001e+06 4.977e-14 0.5933 0.3866
311 8.271e+33 4.745e+14 4.028e+06 4.946e-14 0.5933 0.3866
312 8.271e+33 4.766e+14 4.056e+06 4.907e-14 0.5933 0.3866
313 8.271e+33 4.787e+14 4.083e+06 4.86e-14 0.5933 0.3866
314 8.272e+33 4.808e+14 4.11e+06 4.807e-14 0.5933 0.3866
315 8.272e+33 4.83e+14 4.137e+06 4.754e-14 0.5933 0.3866
316 8.272e+33 4.851e+14 4.165e+06 4.702e-14 0.5933 0.3866
317 8.272e+33 4.872e+14 4.193e+06 4.652e-14 0.5933 0.3866
318 8.273e+33 4.894e+14 4.221e+06 4.595e-14 0.5933 0.3866
319 8.273e+33 4.916e+14 4.249e+06 4.525e-14 0.5933 0.3866
320 8.273e+33 4.937e+14 4.278e+06 4.436e-14 0.5933 0.3866
321 8.274e+33 4.959e+14 4.306e+06 4.336e-14 0.5933 0.3866
322 8.274e+33 4.981e+14 4.335e+06 4.237e-14 0.5933 0.3866
323 8.274e+33 5.003e+14 4.363e+06 4.151e-14 0.5933 0.3866
324 8.274e+33 5.025e+14 4.39e+06 4.085e-14 0.5933 0.3866
325 8.275e+33 5.048e+14 4.417e+06 4.029e-14 0.5933 0.3866
326 8.275e+33 5.07e+14 4.445e+06 3.963e-14 0.5933 0.3866
327 8.275e+33 5.092e+14 4.473e+06 3.883e-14 0.5933 0.3866
328 8.276e+33 5.115e+14 4.502e+06 3.803e-14 0.5933 0.3866
329 8.276e+33 5.138e+14 4.53e+06 3.737e-14 0.5933 0.3866
330 8.276e+33 5.16e+14 4.559e+06 3.683e-14 0.5933 0.3866
331 8.276e+33 5.183e+14 4.587e+06 3.625e-14 0.5933 0.3866
332 8.277e+33 5.206e+14 4.616e+06 3.558e-14 0.5933 0.3866
333 8.277e+33 5.229e+14 4.644e+06 3.486e-14 0.5933 0.3866
334 8.277e+33 5.252e+14 4.672e+06 3.415e-14 0.5933 0.3866
335 8.278e+33 5.276e+14 4.7e+06 3.35e-14 0.5933 0.3866
336 8.278e+33 5.299e+14 4.728e+06 3.291e-14 0.5933 0.3866
337 8.278e+33 5.322e+14 4.757e+06 3.237e-14 0.5933 0.3866
338 8.278e+33 5.346e+14 4.786e+06 3.189e-14 0.5933 0.3866
339 8.279e+33 5.37e+14 4.815e+06 3.143e-14 0.5933 0.3866
340 8.279e+33 5.393e+14 4.845e+06 3.1e-14 0.5933 0.3866
341 8.279e+33 5.417e+14 4.874e+06 3.06e-14 0.5933 0.3866
