j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
163 -1.900e+40 4.501e+14 1.000e+07 7.817e-07 7.000e-01 2.800e-01
164 -1.900e+40 4.543e+14 1.000e+07 7.674e-07 7.000e-01 2.800e-01
165 -1.899e+40 4.585e+14 1.000e+07 7.534e-07 7.000e-01 2.800e-01
166 -1.898e+40 4.627e+14 1.000e+07 7.396e-07 7.000e-01 2.800e-01
167 -1.897e+40 4.670e+14 1.000e+07 7.260e-07 7.000e-01 2.800e-01
168 -1.896e+40 4.714e+14 1.000e+07 7.128e-07 7.000e-01 2.800e-01
169 -1.895e+40 4.757e+14 1.000e+07 6.997e-07 7.000e-01 2.800e-01
170 -1.894e+40 4.801e+14 1.000e+07 6.869e-07 7.000e-01 2.800e-01
171 -1.894e+40 4.846e+14 1.000e+07 6.744e-07 7.000e-01 2.800e-01
172 -1.893e+40 4.891e+14 1.000e+07 6.620e-07 7.000e-01 2.800e-01
173 -1.892e+40 4.936e+14 1.000e+07 6.499e-07 7.000e-01 2.800e-01
174 -1.891e+40 4.982e+14 1.000e+07 6.380e-07 7.000e-01 2.800e-01
175 -1.890e+40 5.028e+14 1.000e+07 6.264e-07 7.000e-01 2.800e-01
176 -1.889e+40 5.075e+14 1.000e+07 6.149e-07 7.000e-01 2.800e-01
177 -1.888e+40 5.122e+14 1.000e+07 6.037e-07 7.000e-01 2.800e-01
178 -1.887e+40 5.169e+14 1.000e+07 5.926e-07 7.000e-01 2.800e-01
179 -1.886e+40 5.217e+14 1.000e+07 5.818e-07 7.000e-01 2.800e-01
180 -1.885e+40 5.266e+14 1.000e+07 5.712e-07 7.000e-01 2.800e-01
181 -1.884e+40 5.314e+14 1.000e+07 5.607e-07 7.000e-01 2.800e-01
182 -1.883e+40 5.364e+14 1.000e+07 5.505e-07 7.000e-01 2.800e-01
183 -1.882e+40 5.413e+14 1.000e+07 5.404e-07 7.000e-01 2.800e-01
184 -1.881e+40 5.464e+14 1.000e+07 5.305e-07 7.000e-01 2.800e-01
185 -1.880e+40 5.514e+14 1.000e+07 5.208e-07 7.000e-01 2.800e-01
186 -1.879e+40 5.565e+14 1.000e+07 5.113e-07 7.000e-01 2.800e-01
187 -1.878e+40 5.617e+14 1.000e+07 5.019e-07 7.000e-01 2.800e-01
188 -1.877e+40 5.669e+14 1.000e+07 4.928e-07 7.000e-01 2.800e-01
189 -1.876e+40 5.722e+14 1.000e+07 4.837e-07 7.000e-01 2.800e-01
190 -1.875e+40 5.775e+14 1.000e+07 4.749e-07 7.000e-01 2.800e-01
191 -1.874e+40 5.828e+14 1.000e+07 4.662e-07 7.000e-01 2.800e-01
192 -1.873e+40 5.882e+14 1.000e+07 4.577e-07 7.000e-01 2.800e-01
193 -1.872e+40 5.937e+14 1.000e+07 4.493e-07 7.000e-01 2.800e-01
194 -1.871e+40 5.992e+14 1.000e+07 4.411e-07 7.000e-01 2.800e-01
195 -1.870e+40 6.047e+14 1.000e+07 4.330e-07 7.000e-01 2.800e-01
196 -1.869e+40 6.103e+14 1.000e+07 4.251e-07 7.000e-01 2.800e-01
197 -1.867e+40 6.160e+14 1.000e+07 4.173e-07 7.000e-01 2.800e-01
198 -1.866e+40 6.217e+14 1.000e+07 4.097e-07 7.000e-01 2.800e-01
199 -1.865e+40 6.275e+14 1.000e+07 4.022e-07 7.000e-01 2.800e-01
200 -1.864e+40 6.333e+14 1.000e+07 3.949e-07 7.000e-01 2.800e-01
201 -1.863e+40 6.392e+14 1.000e+07 3.876e-07 7.000e-01 2.800e-01
202 -1.862e+40 6.451e+14 1.000e+07 3.805e-07 7.000e-01 2.800e-01
203 -1.860e+40 6.511e+14 1.000e+07 3.736e-07 7.000e-01 2.800e-01
204 -1.859e+40 6.571e+14 1.000e+07 3.668e-07 7.000e-01 2.800e-01
205 -1.858e+40 6.632e+14 1.000e+07 3.600e-07 7.000e-01 2.800e-01
206 -1.857e+40 6.693e+14 1.000e+07 3.535e-07 7.000e-01 2.800e-01
207 -1.856e+40 6.756e+14 1.000e+07 3.470e-07 7.000e-01 2.800e-01
208 -1.854e+40 6.818e+14 1.000e+07 3.407e-07 7.000e-01 2.800e-01
209 -1.853e+40 6.881e+14 1.000e+07 3.344e-07 7.000e-01 2.800e-01
210 -1.852e+40 6.945e+14 1.000e+07 3.283e-07 7.000e-01 2.800e-01
211 -1.851e+40 7.010e+14 1.000e+07 3.223e-07 7.000e-01 2.800e-01
212 -1.849e+40 7.075e+14 1.000e+07 3.164e-07 7.000e-01 2.800e-01
213 -1.848e+40 7.140e+14 1.000e+07 3.106e-07 7.000e-01 2.800e-01
214 -1.847e+40 7.206e+14 1.000e+07 3.049e-07 7.000e-01 2.800e-01
215 -1.845e+40 7.273e+14 1.000e+07 2.994e-07 7.000e-01 2.800e-01
216 -1.844e+40 7.341e+14 1.000e+07 2.939e-07 7.000e-01 2.800e-01
217 -1.843e+40 7.409e+14 1.000e+07 2.885e-07 7.000e-01 2.800e-01
218 -1.841e+40 7.477e+14 1.000e+07 2.832e-07 7.000e-01 2.800e-01
219 -1.840e+40 7.547e+14 1.000e+07 2.781e-07 7.000e-01 2.800e-01
220 -1.838e+40 7.617e+14 1.000e+07 2.730e-07 7.000e-01 2.800e-01
221 -1.837e+40 7.687e+14 1.000e+07 2.680e-07 7.000e-01 2.800e-01
222 -1.836e+40 7.759e+14 1.000e+07 2.631e-07 7.000e-01 2.800e-01
223 -1.834e+40 7.830e+14 1.000e+07 2.583e-07 7.000e-01 2.800e-01
224 -1.833e+40 7.903e+14 1.000e+07 2.535e-07 7.000e-01 2.800e-01
225 -1.831e+40 7.976e+14 1.000e+07 2.489e-07 7.000e-01 2.800e-01
226 -1.830e+40 8.050e+14 1.000e+07 2.444e-07 7.000e-01 2.800e-01
227 -1.828e+40 8.125e+14 1.000e+07 2.399e-07 7.000e-01 2.800e-01
228 -1.827e+40 8.200e+14 1.000e+07 2.355e-07 7.000e-01 2.800e-01
229 -1.825e+40 8.276e+14 1.000e+07 2.312e-07 7.000e-01 2.800e-01
230 -1.824e+40 8.353e+14 1.000e+07 2.270e-07 7.000e-01 2.800e-01
231 -1.822e+40 8.430e+14 1.000e+07 2.228e-07 7.000e-01 2.800e-01
232 -1.821e+40 8.509e+14 1.000e+07 2.187e-07 7.000e-01 2.800e-01
233 -1.819e+40 8.588e+14 1.000e+07 2.147e-07 7.000e-01 2.800e-01
234 -1.818e+40 8.667e+14 1.000e+07 2.108e-07 7.000e-01 2.800e-01
235 -1.816e+40 8.747e+14 1.000e+07 2.070e-07 7.000e-01 2.800e-01
236 -1.814e+40 8.829e+14 1.000e+07 2.032e-07 7.000e-01 2.800e-01
237 -1.813e+40 8.910e+14 1.000e+07 1.995e-07 7.000e-01 2.800e-01
238 -1.811e+40 8.993e+14 1.000e+07 1.958e-07 7.000e-01 2.800e-01
239 -1.809e+40 9.076e+14 1.000e+07 1.922e-07 7.000e-01 2.800e-01
240 -1.808e+40 9.161e+14 1.000e+07 1.887e-07 7.000e-01 2.800e-01
241 -1.806e+40 9.246e+14 1.000e+07 1.853e-07 7.000e-01 2.800e-01
242 -1.804e+40 9.331e+14 1.000e+07 1.819e-07 7.000e-01 2.800e-01
243 -1.803e+40 9.418e+14 1.000e+07 1.785e-07 7.000e-01 2.800e-01
244 -1.801e+40 9.505e+14 1.000e+07 1.753e-07 7.000e-01 2.800e-01
245 -1.799e+40 9.593e+14 1.000e+07 1.721e-07 7.000e-01 2.800e-01
246 -1.797e+40 9.682e+14 1.000e+07 1.689e-07 7.000e-01 2.800e-01
