j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
153 6.216e+31 4.104e+14 1.000e+07 1.057e-13 7.000e-01 2.800e-01
154 6.301e+31 4.142e+14 1.000e+07 1.038e-13 7.000e-01 2.800e-01
155 6.387e+31 4.181e+14 1.000e+07 1.020e-13 7.000e-01 2.800e-01
156 6.474e+31 4.219e+14 1.000e+07 1.002e-13 7.000e-01 2.800e-01
157 6.562e+31 4.259e+14 1.000e+07 9.845e-14 7.000e-01 2.800e-01
158 6.650e+31 4.298e+14 1.000e+07 9.671e-14 7.000e-01 2.800e-01
159 6.740e+31 4.338e+14 1.000e+07 9.501e-14 7.000e-01 2.800e-01
160 6.830e+31 4.378e+14 1.000e+07 9.332e-14 7.000e-01 2.800e-01
161 6.922e+31 4.419e+14 1.000e+07 9.167e-14 7.000e-01 2.800e-01
162 7.014e+31 4.460e+14 1.000e+07 9.004e-14 7.000e-01 2.800e-01
163 7.107e+31 4.501e+14 1.000e+07 8.843e-14 7.000e-01 2.800e-01
164 7.201e+31 4.543e+14 1.000e+07 8.685e-14 7.000e-01 2.800e-01
165 7.296e+31 4.585e+14 1.000e+07 8.530e-14 7.000e-01 2.800e-01
166 7.392e+31 4.627e+14 1.000e+07 8.377e-14 7.000e-01 2.800e-01
167 7.488e+31 4.670e+14 1.000e+07 8.227e-14 7.000e-01 2.800e-01
168 7.586e+31 4.714e+14 1.000e+07 8.078e-14 7.000e-01 2.800e-01
169 7.685e+31 4.757e+14 1.000e+07 7.933e-14 7.000e-01 2.800e-01
170 7.784e+31 4.801e+14 1.000e+07 7.789e-14 7.000e-01 2.800e-01
171 7.885e+31 4.846e+14 1.000e+07 7.648e-14 7.000e-01 2.800e-01
172 7.986e+31 4.891e+14 1.000e+07 7.509e-14 7.000e-01 2.800e-01
173 8.088e+31 4.936e+14 1.000e+07 7.372e-14 7.000e-01 2.800e-01
174 8.192e+31 4.982e+14 1.000e+07 7.238e-14 7.000e-01 2.800e-01
