j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
227 1.457e+32 8.125e+14 1.000e+07 1.693e-14 7.000e-01 2.800e-01
228 1.467e+32 8.200e+14 1.000e+07 1.650e-14 7.000e-01 2.800e-01
229 1.478e+32 8.276e+14 1.000e+07 1.607e-14 7.000e-01 2.800e-01
230 1.488e+32 8.353e+14 1.000e+07 1.566e-14 7.000e-01 2.800e-01
231 1.499e+32 8.430e+14 1.000e+07 1.525e-14 7.000e-01 2.800e-01
232 1.509e+32 8.509e+14 1.000e+07 1.486e-14 7.000e-01 2.800e-01
233 1.520e+32 8.588e+14 1.000e+07 1.447e-14 7.000e-01 2.800e-01
234 1.531e+32 8.667e+14 1.000e+07 1.409e-14 7.000e-01 2.800e-01
235 1.541e+32 8.747e+14 1.000e+07 1.373e-14 7.000e-01 2.800e-01
236 1.552e+32 8.829e+14 1.000e+07 1.337e-14 7.000e-01 2.800e-01
237 1.562e+32 8.910e+14 1.000e+07 1.301e-14 7.000e-01 2.800e-01
238 1.573e+32 8.993e+14 1.000e+07 1.267e-14 7.000e-01 2.800e-01
239 1.584e+32 9.076e+14 1.000e+07 1.234e-14 7.000e-01 2.800e-01
240 1.594e+32 9.161e+14 1.000e+07 1.201e-14 7.000e-01 2.800e-01
241 1.605e+32 9.246e+14 1.000e+07 1.169e-14 7.000e-01 2.800e-01
242 1.616e+32 9.331e+14 1.000e+07 1.138e-14 7.000e-01 2.800e-01
243 1.626e+32 9.418e+14 1.000e+07 1.107e-14 7.000e-01 2.800e-01
244 1.637e+32 9.505e+14 1.000e+07 1.078e-14 7.000e-01 2.800e-01
245 1.648e+32 9.593e+14 1.000e+07 1.049e-14 7.000e-01 2.800e-01
246 1.658e+32 9.682e+14 1.000e+07 1.020e-14 7.000e-01 2.800e-01
247 1.669e+32 9.772e+14 1.000e+07 9.928e-15 7.000e-01 2.800e-01
248 1.680e+32 9.863e+14 1.000e+07 9.658e-15 7.000e-01 2.800e-01
