3.0000E-03 6.5760E-15
5.8898E-03 3.5405E-01 6.9473E-06
5.8998E-03 3.5405E-01 3.7513E-06
5.9098E-03 3.5408E-01 3.6081E-05
5.9198E-03 3.5427E-01 2.2914E-04
5.9298E-03 3.5406E-01 1.9076E-05
5.9399E-03 3.5422E-01 1.7636E-04
5.9499E-03 3.5405E-01 1.9931E-06
5.9599E-03 3.5405E-01 4.8202E-06
5.9699E-03 3.5411E-01 6.9292E-05
5.9799E-03 3.5421E-01 1.6170E-04
5.9900E-03 3.5405E-01 3.1555E-06
6.0000E-03 3.5471E-01 6.7204E-04
6.0100E-03 3.5614E-01 2.1217E-03
6.0200E-03 3.5405E-01 2.2976E-06
6.0301E-03 3.5405E-01 2.6328E-06
6.0401E-03 3.5410E-01 5.8968E-05
6.0501E-03 3.5603E-01 1.9908E-03
6.0601E-03 3.5433E-01 2.8333E-04
6.0701E-03 3.5405E-01 2.3234E-06
6.0802E-03 3.5404E-01 1.9846E-06
6.0902E-03 3.5404E-01 1.9878E-06
6.1002E-03 3.5405E-01 6.9101E-06
6.1102E-03 3.5405E-01 3.1825E-06
6.1202E-03 3.5405E-01 5.3510E-06
6.1303E-03 3.5405E-01 7.3730E-06
6.1403E-03 3.5405E-01 7.8011E-06
6.1503E-03 3.5404E-01 1.9475E-06
6.1603E-03 3.5406E-01 1.3884E-05
6.1703E-03 3.5406E-01 1.7902E-05
6.1804E-03 3.5405E-01 1.1435E-05
6.1904E-03 3.5405E-01 4.2849E-06
6.2004E-03 3.5405E-01 7.8760E-06
6.2104E-03 3.5405E-01 1.2598E-05
6.2204E-03 3.5405E-01 1.3647E-05
6.2305E-03 3.5405E-01 5.1544E-06
6.2405E-03 3.5407E-01 2.8982E-05
6.2505E-03 3.5406E-01 1.6726E-05
6.2605E-03 3.5404E-01 2.2283E-06
6.2705E-03 3.5404E-01 2.0194E-06
6.2806E-03 3.5405E-01 8.4444E-06
6.2906E-03 3.5404E-01 3.6373E-06
6.3006E-03 3.5405E-01 8.7449E-06
6.3106E-03 3.5406E-01 1.9082E-05
6.3206E-03 3.5405E-01 4.8785E-06
6.3307E-03 3.5405E-01 1.3006E-05
6.3407E-03 3.5404E-01 2.3448E-06
6.3507E-03 3.5405E-01 1.0400E-05
